Title;ISSN;Categories;Top Level;Primary Level;Secondary Level;Preassigned
Complex Manifolds;23007443;Geometry and Topology 4;Physical Sciences and Engineering;Mathematics;Geometry and Topology;
Comparative Parasitology;15252647;"Ecology, Evolution, Behavior and Systematics 3; Parasitology 4";Physical Sciences and Engineering;NA;NA;
COMPEL - The International Journal for Computation and Mathematics in Electrical and Electronic Engineering;3321649;"Electrical and Electronic Engineering 2; Applied Mathematics 3; Computational Theory and Mathematics 3; Computer Science Applications 3";Physical Sciences and Engineering;NA;NA;
Competition and Regulation in Network Industries;17835917;"Business, Management and Accounting 2; Management Science and Operations Research 3";Physical Sciences and Engineering;NA;NA;
Complex Adaptive Systems Modeling;21943206;"Applied Mathematics 4; Computer Science Applications 4; Modeling and Simulation 4";Physical Sciences and Engineering;NA;NA;
Complex Analysis and Operator Theory;16618262;"Computational Mathematics 2; Applied Mathematics 3; Computational Theory and Mathematics 3";Physical Sciences and Engineering;NA;NA;
Complex Systems and Complexity Science;16723813;Control and Systems Engineering 4;Physical Sciences and Engineering;Engineering;Control and Systems Engineering;
Complex Systems;8912513;"Computer Science 3; Control and Systems Engineering 3";Physical Sciences and Engineering;NA;NA;
Complex Variables and Elliptic Equations;17476933;"Analysis 2; Applied Mathematics 2; Computational Mathematics 2; Numerical Analysis 2";Physical Sciences and Engineering;Mathematics;Computational Mathematics;
COMPLEXIS 2016 - Proceedings of the 1st International Conference on Complex Information Systems;-;"Energy Engineering and Power Technology; Mechanical Engineering";Physical Sciences and Engineering;Energy;Energy Engineering and Power Technology;
Complexity;10762787;"Computer Science;Multidisciplinary ";Physical Sciences and Engineering;Computer Science;Computer Science (General);
Complutum;11316993;"Archeology 2; Archeology arts and humanities 2; History 2";Physical Sciences and Engineering;Archeologyartshumanities History;Archeologyartshumanities;
Composite Structures;2638223;"Ceramics and Composites;Civil and Structural Engineering ";Physical Sciences and Engineering;Engineering;Civil and Structural Engineering;Yes
Composite Interfaces;9276440;"Ceramics and Composites 2; Physics and Astronomy 2; Surfaces, Coatings and Films 2";Physical Sciences and Engineering;NA;NA;
Composites Communications;24522139;"Ceramics and Composites;Materials Chemistry;Mechanics of Materials;Polymers and Plastics ";Physical Sciences and Engineering;Materials Science;Biomaterials;Yes
Composites Part A: Applied Science and Manufacturing;1359835X;"Ceramics and Composites;Mechanics of Materials ";Physical Sciences and Engineering;Materials Science;Ceramics and Composites;Yes
Composites Part B: Engineering;13598368;"Ceramics and Composites;Industrial and Manufacturing Engineering;Mechanical Engineering;Mechanics of Materials ";Physical Sciences and Engineering;Engineering;Engineering (General);Yes
Composites Science and Technology;2663538;"Ceramics and Composites;Engineering ";Physical Sciences and Engineering;Engineering;Engineering (General);Yes
Composites: Mechanics, Computations, Applications;21522057;"Ceramics and Composites 3; Mechanics of Materials 3";Physical Sciences and Engineering;Materials Science;Ceramics and Composites;
Composites Theory and Practice;20846096;"Ceramics and Composites; Materials Chemistry; Mechanical Engineering; Mechanics of Materials";Physical Sciences and Engineering;NA;NA;
Compositio Mathematica;0010437X;Algebra and Number Theory ;Physical Sciences and Engineering;Mathematics;Algebra and Number Theory;
Comprehensive Analytical Chemistry;0166526X;"Analytical Chemistry 3; Spectroscopy 3";Physical Sciences and Engineering;Chemistry;Analytical Chemistry;
Comptes Rendus - Mecanique;18737234;"Materials Science 2; Mechanics of Materials 2";Physical Sciences and Engineering;Materials Science;Materials Science (General);
Comprehensive Series in Photochemical and Photobiological Sciences;20419724;"Atomic and Molecular Physics, and Optics 4; Biochemistry 4; Biophysics 4; Physical and Theoretical Chemistry 4";Physical Sciences and Engineering;NA;NA;
Comptes Rendus - Palevol;16310683;Paleontology ;Physical Sciences and Engineering;Earth and Planetary Sciences;Palaeontology;Yes
Comptes Rendus Chimie;18781543;"Chemical Engineering 2; Chemistry 2";Physical Sciences and Engineering;Chemical Engineering;Chemical Engineering (General);
Comptes Rendus Mathematique;17783569;Mathematics ;Physical Sciences and Engineering;Mathematics;Mathematics (General);
Comptes Rendus Physique;18781535;Physics and Astronomy ;Physical Sciences and Engineering;Physics and Astronomy;Physics and Astronomy (General);
Comptes Rendus, Hebdomadaires des Seances de l'Academie des Sciences, Serie B;3666077;Engineering 3;Physical Sciences and Engineering;Engineering;Engineering (General);
Compusoft;23200790;Computer Science 4;Physical Sciences and Engineering;Computer Science;Computer Science (General);
Computacion y Sistemas;14055546;Computer Science 3;Physical Sciences and Engineering;Computer Science;Computer Science (General);
Computability;22113576;"Artificial Intelligence 2; Computational Theory and Mathematics 2; Computer Science Applications 2; Theoretical Computer Science 2";Physical Sciences and Engineering;NA;NA;
Computation Molecular Science and Engineering Forum 2016 - Core Programming Area at the 2016 AIChE Annual Meeting;-;"Computer Graphics and Computer-Aided Design; Hardware and Architecture; Software";Physical Sciences and Engineering;Computer Science;Computer Graphics and Computer-Aided Design;
Computation;20793197;"Computer Science 2; Applied Mathematics 3; Modeling and Simulation 3; Theoretical Computer Science 3";Physical Sciences and Engineering;NA;NA;
Computational and Applied Mathematics;18070302;"Applied Mathematics 3; Computational Mathematics 3";Physical Sciences and Engineering;Mathematics;Applied Mathematics;
Computational and Theoretical Chemistry;2210271X;"Biochemistry 3; Condensed Matter Physics 3; Physical and Theoretical Chemistry 3";Physical Sciences and Engineering;Chemistry;Physical and Theoretical Chemistry;Yes
Computational and Experimental Methods in Structures;20449283;"Ceramics and Composites 4; Civil and Structural Engineering 4; Computational Mechanics 4; Electronic, Optical and Magnetic Materials 4; Mechanical Engineering 4";Physical Sciences and Engineering;NA;NA;
Computational and Mathematical Organization Theory;1381298X;"Computational Mathematics 3; Computer Science 3; Decision Sciences 3; Applied Mathematics 4; Modeling and Simulation 4";Physical Sciences and Engineering;NA;NA;
Computational Condensed Matter;23522143;"Condensed Matter Physics 3; Electronic, Optical and Magnetic Materials 3; Materials Chemistry 3; Materials Science 3";Physical Sciences and Engineering;Materials Science;Materials Science (General);Yes
Computational Complexity;14208954;"Computational Mathematics 2; Computational Theory and Mathematics 2; Mathematics 2; Theoretical Computer Science 2";Physical Sciences and Engineering;NA;NA;
Computational Geometry: Theory and Applications;9257721;"Computational Mathematics 2; Computational Theory and Mathematics 2; Computer Science Applications 2; Control and Optimization 2; Geometry and Topology 3";Physical Sciences and Engineering;Computer Science;Computational Theory and Mathematics;Yes
Computational Economics;9277099;"Economics, Econometrics and Finance 2; Computer Science Applications 3";Physical Sciences and Engineering;NA;NA;
Computational Intelligence;8247935;"Artificial Intelligence 3; Computational Mathematics 3";Physical Sciences and Engineering;Computer Science;Artificial Intelligence;
Computational Geosciences;14200597;"Computational Theory and Mathematics;Computational Mathematics 2; Computer Science Applications 2; Computers in Earth Sciences 2";Physical Sciences and Engineering;NA;NA;
Computational Materials Science;9270256;"Chemistry;Computer Science;Materials Science;Mechanics of Materials;Physics and Astronomy;Computational Mathematics 2";Physical Sciences and Engineering;Engineering;Computational Mechanics;Yes
Computational Linguistics;8912017;"Language and Linguistics;Linguistics and Language;Artificial Intelligence 2; Computer Science Applications 2";Physical Sciences and Engineering;NA;NA;
Computational Management Science;1619697X;"Information Systems;Management Information Systems ";Physical Sciences and Engineering;NA;NA;
Computational Mathematics and Mathematical Physics;15556662;Computational Mathematics 2;Physical Sciences and Engineering;Mathematics;Computational Mathematics;
Computational Mathematics and Modeling;1046283X;Computational Mathematics 3;Physical Sciences and Engineering;Mathematics;Computational Mathematics;
Computational Methods in Applied Mathematics;16094840;"Applied Mathematics;Computational Mathematics;Numerical Analysis 2";Physical Sciences and Engineering;Mathematics;Computational Mathematics;
Computational Mechanics;14320924;"Applied Mathematics;Computational Mathematics;Computational Mechanics;Computational Theory and Mathematics;Mechanical Engineering;Ocean Engineering ";Physical Sciences and Engineering;NA;NA;
Computational Methods and Function Theory;16179447;"Analysis 3; Applied Mathematics 3; Computational Theory and Mathematics 3";Physical Sciences and Engineering;NA;NA;
Computational Statistics and Data Analysis;1679473;"Applied Mathematics;Computational Mathematics;Computational Theory and Mathematics;Statistics and Probability ";Physical Sciences and Engineering;Computer Science;Computational Theory and Mathematics;Yes
Computational Methods in Applied Sciences;18713033;"Civil and Structural Engineering 3; Computational Mathematics 3; Electrical and Electronic Engineering 3; Fluid Flow and Transfer Processes 3; Biomedical Engineering 4; Computer Science Applications 4; Modeling and Simulation 4";Physical Sciences and Engineering;NA;NA;
Computational Optimization and Applications;15732894;"Applied Mathematics;Computational Mathematics;Control and Optimization ";Physical Sciences and Engineering;NA;NA;
Computational Particle Mechanics;21964386;"Computational Mechanics;Civil and Structural Engineering 2; Computational Mathematics 2; Fluid Flow and Transfer Processes 2; Modeling and Simulation 2; Numerical Analysis 2";Physical Sciences and Engineering;NA;NA;
Computational Science and Engineering - Proceedings of the International Conference on Computational Science and Engineering, ICCSE2016;-;"Computer Graphics and Computer-Aided Design; Human-Computer Interaction; Information Systems; Software";Physical Sciences and Engineering;NA;NA;
Computational Statistics;9434062;"Computational Mathematics 2; Statistics and Probability 3; Statistics, Probability and Uncertainty 3";Physical Sciences and Engineering;NA;NA;
Computational Vision and Medical Image Processing V - Proceedings of 5th Eccomas Thematic Conference on Computational Vision and Medical Image Processing, VipIMAGE 2015;-;Software;Physical Sciences and Engineering;Computer Science;Software;
Computational Thermal Sciences;19402554;"Energy Engineering and Power Technology 3; Fluid Flow and Transfer Processes 3; Computational Mathematics 4; Surfaces and Interfaces 4";Physical Sciences and Engineering;NA;NA;
Computer;189162;Computer Science ;Physical Sciences and Engineering;Computer Science;Computer Science (General);
Computational Visual Media;20960662;"Artificial Intelligence 2; Computer Graphics and Computer-Aided Design 2; Computer Vision and Pattern Recognition 2";Physical Sciences and Engineering;NA;NA;
Computer Aided Geometric Design;1678396;"Automotive Engineering;Aerospace Engineering 2; Computer Graphics and Computer-Aided Design 2; Modeling and Simulation 2";Physical Sciences and Engineering;Computer Science;Computer Graphics and Computer-Aided Design;Yes
Computer Communication Review;19435819;"Computer Networks and Communications;Software ";Physical Sciences and Engineering;Computer Science;Computer Networks and Communications;
Computer Assisted Methods in Engineering and Science;22993649;"Computational Mechanics 4; Computer Science Applications 4; Mechanical Engineering 4";Physical Sciences and Engineering;NA;NA;
Computer Communications;1403664;Computer Networks and Communications ;Physical Sciences and Engineering;Computer Science;Computer Networks and Communications;Yes
Computer Fraud and Security;13613723;"Computer Science 2; Law 2";Physical Sciences and Engineering;Computer Science;Computer Networks and Communications;Yes
Computer Journal;14602067;Computer Science 2;Physical Sciences and Engineering;Computer Science;Computer Science (General);
Computer Languages, Systems and Structures;14778424;"Computer Networks and Communications 3; Software 3";Physical Sciences and Engineering;Computer Science;Computational Theory and Mathematics;Yes
Computer Law and Security Review;2673649;"Business, Management and Accounting;Computer Networks and Communications;Law ";Physical Sciences and Engineering;Computer Science;Computer Science (General);Yes
Computer Methods in Applied Mechanics and Engineering;457825;"Computational Mechanics;Computer Science Applications;Mechanical Engineering;Mechanics of Materials;Physics and Astronomy ";Physical Sciences and Engineering;Computer Science;Computer Science Applications;Yes
Computer Networks;13891286;Computer Networks and Communications ;Physical Sciences and Engineering;Computer Science;Computer Networks and Communications;Yes
Computer Methods in Biomechanics and Biomedical Engineering;14768259;"Computer Science Applications 2; Human-Computer Interaction 2; Bioengineering 3; Biomedical Engineering 3; Medicine 3";Physical Sciences and Engineering;NA;NA;
Computer Methods in Materials Science;16418581;"Materials Science 3; Computer Science Applications 4";Physical Sciences and Engineering;NA;NA;
Computer Physics Communications;104655;"Hardware and Architecture;Physics and Astronomy ";Physical Sciences and Engineering;Chemistry;Physical and Theoretical Chemistry;Yes
Computer Optics;1342452;"Engineering;Atomic and Molecular Physics, and Optics 2; Computer Science Applications 2; Computer Vision and Pattern Recognition 2; Electrical and Electronic Engineering 2";Physical Sciences and Engineering;NA;NA;
Computer Science and Information Systems;24061018;Computer Science 2;Physical Sciences and Engineering;Computer Science;Computer Science (General);
Computer Research and Modeling;20767633;"Computational Theory and Mathematics 3; Computer Science Applications 3; Modeling and Simulation 3";Physical Sciences and Engineering;NA;NA;
Computer Science Review;15740137;"Computer Science;Theoretical Computer Science ";Physical Sciences and Engineering;Computer Science;Computer Science (General);Yes
Computer Science Journal of Moldova;15614042;"Artificial Intelligence; Computational Mathematics; Computational Theory and Mathematics; Computer Networks and Communications; Computer Science Applications; Control and Optimization; Modeling and Simulation; Software";Physical Sciences and Engineering;NA;NA;
Computer Sciences and Information Technologies - Proceedings of the 11th International Scientific and Technical Conference, CSIT 2016;-;"Electrical and Electronic Engineering; Hardware and Architecture";Physical Sciences and Engineering;Engineering;Electrical and Electronic Engineering;
Computer Software;2896540;Software 4;Physical Sciences and Engineering;Computer Science;Software;
Computer Speech and Language;8852308;"Human-Computer Interaction 2; Software 2; Theoretical Computer Science 2";Physical Sciences and Engineering;Computer Science;Signal Processing;Yes
Computer Standards and Interfaces;9205489;"Hardware and Architecture;Law;Software 2";Physical Sciences and Engineering;Computer Science;Computer Networks and Communications;Yes
Computer Supported Cooperative Work;9259724;Computer Science ;Physical Sciences and Engineering;Computer Science;Computer Science (General);
Computer Vision and Image Understanding;10773142;"Computer Vision and Pattern Recognition;Signal Processing;Software ";Physical Sciences and Engineering;Computer Science;Computer Vision and Pattern Recognition;Yes
Computer Systems Science and Engineering;2676192;"Computer Science 3; Control and Systems Engineering 4; Theoretical Computer Science 4";Physical Sciences and Engineering;NA;NA;
Computers;2073431X;"Computer Networks and Communications 2; Human-Computer Interaction 3";Physical Sciences and Engineering;Computer Science;Computer Networks and Communications;
Computer-Aided Civil and Infrastructure Engineering;14678667;"Civil and Structural Engineering;Computational Theory and Mathematics;Computer Graphics and Computer-Aided Design;Computer Science Applications ";Physical Sciences and Engineering;NA;NA;
Computer-Aided Design and Applications;16864360;"Computational Mathematics 3; Computational Mechanics 3; Computer Graphics and Computer-Aided Design 3";Physical Sciences and Engineering;NA;NA;
Computer-Supported Collaborative Learning Conference, CSCL;15734552;"Education; Human-Computer Interaction";Physical Sciences and Engineering;NA;NA;
Computers and Chemical Engineering;981354;"Chemical Engineering;Computer Science Applications ";Physical Sciences and Engineering;Chemical Engineering;Chemical Engineering (General);Yes
Computers and Concrete;1598818X;Computational Mechanics 2;Physical Sciences and Engineering;Engineering;Computational Mechanics;
Computers and Electrical Engineering;457906;"Computer Science;Control and Systems Engineering 2; Electrical and Electronic Engineering 2";Physical Sciences and Engineering;Computer Science;Computer Networks and Communications;Yes
Computers and Fluids;457930;"Computer Science;Engineering ";Physical Sciences and Engineering;Engineering;Computational Mechanics;Yes
Computers and Geosciences;983004;"Computers in Earth Sciences;Information Systems ";Physical Sciences and Engineering;Computer Science;Computer Science Applications;Yes
Computers and Geotechnics;0266352X;"Computer Science Applications;Geotechnical Engineering and Engineering Geology ";Physical Sciences and Engineering;Computer Science;Computer Science Applications;Yes
Computers and Graphics;978493;"Engineering;Computer Graphics and Computer-Aided Design 2; Computer Vision and Pattern Recognition 2; Human-Computer Interaction 2; Signal Processing 2; Software 2";Physical Sciences and Engineering;Computer Science;Computer Graphics and Computer-Aided Design;Yes
Computers and Graphics: X;25901486;"Computer Graphics and Computer-Aided Design; Engineering; Human-Computer Interaction";Physical Sciences and Engineering;Computer Science;Computer Graphics and Computer-Aided Design;Yes
Computers and Industrial Engineering;3608352;"Computer Science;Engineering ";Physical Sciences and Engineering;Engineering;Industrial and Manufacturing Engineering;Yes
Computers and Mathematics with Applications;8981221;"Computational Mathematics;Computational Theory and Mathematics;Modeling and Simulation ";Physical Sciences and Engineering;Computer Science;Computer Science (General);Yes
Computers and Operations Research;3050548;"Computer Science;Management Science and Operations Research;Modeling and Simulation ";Physical Sciences and Engineering;Computer Science;Computer Science (General);Yes
Computers and Security;1674048;"Computer Science;Law ";Physical Sciences and Engineering;Computer Science;Computer Networks and Communications;Yes
Computers and Structures;457949;"Civil and Structural Engineering;Computer Science Applications;Materials Science;Mechanical Engineering;Modeling and Simulation ";Physical Sciences and Engineering;Computer Science;Computer Science Applications;Yes
Computers in Human Behavior;7475632;"Arts and Humanities;Human-Computer Interaction;Psychology ";Physical Sciences and Engineering;Computer Science;Computer Science Applications;Yes
Computers in Industry;1663615;"Computer Science;Engineering ";Physical Sciences and Engineering;Computer Science;Computer Science Applications;Yes
Computing in Science and Engineering;15219615;"Engineering;Computer Science 2";Physical Sciences and Engineering;Engineering;Engineering (General);
Computers, Materials and Continua;15462218;"Biomaterials;Computer Science Applications;Electrical and Electronic Engineering;Mechanics of Materials;Modeling and Simulation ";Physical Sciences and Engineering;NA;NA;
Computing (Vienna/New York);14365057;"Computational Mathematics 2; Computational Theory and Mathematics 2; Computer Science Applications 2; Software 2; Theoretical Computer Science 2; Numerical Analysis 3";Physical Sciences and Engineering;NA;NA;
Computing and Informatics;13359150;"Computer Networks and Communications 3; Computational Theory and Mathematics 4; Hardware and Architecture 4; Software 4";Physical Sciences and Engineering;NA;NA;
Computing and Visualization in Science;14329360;"Computational Theory and Mathematics;Computer Vision and Pattern Recognition;Engineering;Modeling and Simulation;Software;Theoretical Computer Science ";Physical Sciences and Engineering;NA;NA;
Concepts in Magnetic Resonance Part A: Bridging Education and Research;15466086;Spectroscopy 4;Physical Sciences and Engineering;Chemistry;Spectroscopy;
Comunicacoes Geologicas;0873948X;"Earth and Planetary Sciences 3; Environmental Science 3; Renewable Energy, Sustainability and the Environment 4";Physical Sciences and Engineering;NA;NA;
CONCAWE Reports;1660810;"Energy 4; Environmental Science 4; Process Chemistry and Technology 4; Safety, Risk, Reliability and uality 4";Physical Sciences and Engineering;NA;NA;
CONCAWE Review;10277358;"Energy 4; Environmental Science 4; Process Chemistry and Technology 4; Safety, Risk, Reliability and uality 4";Physical Sciences and Engineering;NA;NA;
Concrete (London);105317;"Building and Construction 4; Civil and Structural Engineering 4; Materials Science 4";Physical Sciences and Engineering;Engineering;BuildingConstruction;
Concrete Construction - World of Concrete;15337316;"Building and Construction 4; Materials Science 4";Physical Sciences and Engineering;Engineering;BuildingConstruction;
Concrete Producer;15280187;"Building and Construction 4; Materials Science 4";Physical Sciences and Engineering;Engineering;BuildingConstruction;
Concrete Operators;22993282;"Analysis; Applied Mathematics";Physical Sciences and Engineering;NA;NA;
Concrete Solutions - Proceedings of Concrete Solutions, 6th International Conference on Concrete Repair, 2016;-;"Computational Theory and Mathematics; Mechanical Engineering";Physical Sciences and Engineering;Computer Science;Computational Theory and Mathematics;
Concurrent Systems Engineering Series;13837575;"Computer Science; Engineering";Physical Sciences and Engineering;Computer Science;Computer Science (General);
Concurrency Computation Practice and Experience;15320626;"Computer Networks and Communications 2; Computational Theory and Mathematics 3; Computer Science Applications 3; Software 3; Theoretical Computer Science 3";Physical Sciences and Engineering;NA;NA;
Concurrent Engineering Research and Applications;15312003;"Engineering;Computer Science Applications 3; Modeling and Simulation 3";Physical Sciences and Engineering;NA;NA;
Condensed Matter Physics;1607324X;"Physics and Astronomy 3; Condensed Matter Physics 4";Physical Sciences and Engineering;Physics and Astronomy;Physics and Astronomy (General);
Conference Digest - IEEE International Semiconductor Laser Conference;8999406;"Atomic and Molecular Physics, and Optics; Electrical and Electronic Engineering";Physical Sciences and Engineering;Physics and Astronomy;Atomic and Molecular Physics, and Optics;
CoNEXT 2016 - Proceedings of the 12th International Conference on Emerging Networking EXperiments and Technologies;-;"Artificial Intelligence; Computer Graphics and Computer-Aided Design; Computer Science Applications; Computer Vision and Pattern Recognition";Physical Sciences and Engineering;NA;NA;
Conference on Advances in Signal Processing, CASP 2016;-;"Computer Networks and Communications; Instrumentation; Radiation";Physical Sciences and Engineering;Computer Science;Computer Networks and Communications;
Conference of Open Innovation Association, FRUCT;23057254;"Computer Science; Electrical and Electronic Engineering";Physical Sciences and Engineering;NA;NA;
Conference on Electrical Insulation, CEI 1960;-;"Civil and Structural Engineering; Transportation";Physical Sciences and Engineering;Engineering;Civil and Structural Engineering;
Conference on Control and Fault-Tolerant Systems, SysTol;21621195;"Computer Science Applications; Control and Systems Engineering; Hardware and Architecture; Software";Physical Sciences and Engineering;NA;NA;
Conference on Design and Architectures for Signal and Image Processing, DASIP;21649766;"Computer Graphics and Computer-Aided Design; Computer Vision and Pattern Recognition; Electrical and Electronic Engineering; Hardware and Architecture; Signal Processing";Physical Sciences and Engineering;NA;NA;
Conference on Human Factors in Computing Systems - Proceedings;2749696;"Computer Graphics and Computer-Aided Design; Human-Computer Interaction; Software";Physical Sciences and Engineering;Computer Science;Computer Graphics and Computer-Aided Design;
Conference on Local Computer Networks;7421303;"Electrical and Electronic Engineering; Software";Physical Sciences and Engineering;Engineering;Electrical and Electronic Engineering;
Conference Proceedings - 2016 13th China International Forum on Solid State Lighting, SSLCHINA 2016;-;"Electrical and Electronic Engineering; Electronic, Optical and Magnetic Materials";Physical Sciences and Engineering;Engineering;Electrical and Electronic Engineering;
Conference on Millimeter-Wave and Terahertz Technologies, MMWaTT;21570965;"Acoustics and Ultrasonics; Computer Networks and Communications; Electrical and Electronic Engineering; Media Technology";Physical Sciences and Engineering;NA;NA;
Conference Proceedings - 2016 IEEE 13th International Conference on Laser and Fiber-Optical Networks Modeling, LFNM 2016;-;"Electronic, Optical and Magnetic Materials; Mechanics of Materials";Physical Sciences and Engineering;Materials Science;Electronic, Optical and Magnetic Materials;
Conference Proceedings - 40th Vibration Institute Annual Training Conference;-;Software;Physical Sciences and Engineering;Computer Science;Software;
Conference Proceedings - GEMCCON 2015: IEEE Global Electromagnetic Compatibility Conference;-;"Control and Systems Engineering; Hardware and Architecture";Physical Sciences and Engineering;Engineering;Control and Systems Engineering;
Conference Proceedings - IEEE Applied Power Electronics Conference and Exposition - APEC;-;Electrical and Electronic Engineering;Physical Sciences and Engineering;Engineering;Electrical and Electronic Engineering;
Conference Proceedings from the International Symposium for Testing and Failure Analysis;-;Computer Networks and Communications;Physical Sciences and Engineering;Computer Science;Computer Networks and Communications;
Conference Proceedings - IEEE International Conference on Systems, Man and Cybernetics;1062922X;"Control and Systems Engineering; Electrical and Electronic Engineering; Human-Computer Interaction";Physical Sciences and Engineering;NA;NA;
Conference Proceedings - IEEE SOUTHEASTCON;7347502;"Computer Networks and Communications; Control and Systems Engineering; Electrical and Electronic Engineering; Signal Processing; Software";Physical Sciences and Engineering;NA;NA;
Conference Proceedings of 2015 2nd International Conference on Knowledge-Based Engineering and Innovation, KBEI 2015;-;"Electrical and Electronic Engineering; Polymers and Plastics";Physical Sciences and Engineering;Engineering;Electrical and Electronic Engineering;
Conference Record - IEEE Instrumentation and Measurement Technology Conference;10915281;Electrical and Electronic Engineering;Physical Sciences and Engineering;Engineering;Electrical and Electronic Engineering;
Conference Proceedings of the 4th International Symposium on Project Management, ISPM 2016;-;"Computational Mathematics; Computer Science; Theoretical Computer Science";Physical Sciences and Engineering;NA;NA;
Conference Proceedings of the Society for Experimental Mechanics Series;21915644;"Computational Mechanics; Engineering; Mechanical Engineering";Physical Sciences and Engineering;NA;NA;
Conference Record - IEEE Cement Industry Technical Conference;7314906;"Building and Construction; Control and Systems Engineering; Industrial and Manufacturing Engineering; Materials Science";Physical Sciences and Engineering;NA;NA;
Conference Record - Industrial and Commercial Power Systems Technical Conference;-;Engineering;Physical Sciences and Engineering;Engineering;Engineering (General);
Conference Record of 1978 IEEE International Symposium on Electrical Insulation, ISEI 1978;-;"Energy Engineering and Power Technology; Renewable Energy, Sustainability and the Environment";Physical Sciences and Engineering;Energy;Energy Engineering and Power Technology;
Conference Record - International Conference on Communications;5361486;"Computer Networks and Communications; Electrical and Electronic Engineering; Media Technology";Physical Sciences and Engineering;NA;NA;
Conference Record of 1976 IEEE International Symposium on Electrical Insulation, ISEI 1976;-;"Artificial Intelligence; Computer Networks and Communications; Water Science and Technology";Physical Sciences and Engineering;NA;NA;
Conference Record of the Annual ACM Symposium on Principles of Programming Languages;7308566;Software;Physical Sciences and Engineering;Computer Science;Software;
Conference Record of the Asilomar Conference on Signals, Systems and Computers;10586393;"Computer Networks and Communications; Signal Processing";Physical Sciences and Engineering;Computer Science;Computer Networks and Communications;
Conformal Geometry and Dynamics;10884173;Geometry and Topology 3;Physical Sciences and Engineering;Mathematics;Geometry and Topology;
Conferences in Research and Practice in Information Technology Series;14451336;"Computer Networks and Communications; Computer Science Applications; Hardware and Architecture; Information Systems; Software";Physical Sciences and Engineering;NA;NA;
Confluentes Mathematici;17937442;"Applied Mathematics 3; Mathematics 3; Mathematical Physics 4";Physical Sciences and Engineering;NA;NA;
Congress on Computing in Civil Engineering, Proceedings;-;"Civil and Structural Engineering; Computer Science Applications";Physical Sciences and Engineering;Engineering;Civil and Structural Engineering;
CONMEDIA 2015 - International Conference on New Media 2015;-;"Artificial Intelligence; Signal Processing";Physical Sciences and Engineering;Computer Science;Artificial Intelligence;
Construction and Building Materials;9500618;"Building and Construction;Civil and Structural Engineering;Materials Science ";Physical Sciences and Engineering;Engineering;Civil and Structural Engineering;Yes
Connection Science;13600494;"Artificial Intelligence 3; Human-Computer Interaction 3; Software 3";Physical Sciences and Engineering;NA;NA;
Connections;18121098;"Computer Networks and Communications 4; Law 4; Political Science and International Relations 4; Safety Research 4; Safety, Risk, Reliability and uality 4";Physical Sciences and Engineering;NA;NA;
Constraints;15729354;"Artificial Intelligence 2; Computational Theory and Mathematics 2; Discrete Mathematics and Combinatorics 2; Software 2";Physical Sciences and Engineering;NA;NA;
Consulting engineer Barrington;107107;Engineering 3;Physical Sciences and Engineering;Engineering;Engineering (General);
Construction Innovation;14770857;"Architecture;Computer Science;Building and Construction 2; Civil and Structural Engineering 2; Control and Systems Engineering 2";Physical Sciences and Engineering;NA;NA;
Construction Management and Economics;1446193;"Building and Construction;Industrial and Manufacturing Engineering;Management Information Systems ";Physical Sciences and Engineering;NA;NA;
Construction Research Congress 2016: Old and New Construction Technologies Converge in Historic San Juan - Proceedings of the 2016 Construction Research Congress, CRC 2016;-;"Computer Science Applications; Hardware and Architecture; Information Systems; Software";Physical Sciences and Engineering;NA;NA;
Constructive Approximation;14320940;"Analysis 2; Computational Mathematics 2; Mathematics 2";Physical Sciences and Engineering;NA;NA;
Consulting-Specifying Engineer;8925046;Engineering 4;Physical Sciences and Engineering;Engineering;Engineering (General);
Containerisation International;107379;Ocean Engineering 3;Physical Sciences and Engineering;Engineering;Ocean Engineering;
Contemporary Mathematics;2714132;Mathematics;Physical Sciences and Engineering;Mathematics;Mathematics (General);
Contemporary British History;13619462;"Cultural Studies;History;Political Science and International Relations 2; Safety Research 2; Development 3";Physical Sciences and Engineering;NA;NA;
Contemporary Educational Technology;1309517X;"Education 2; Management of Technology and Innovation 2";Physical Sciences and Engineering;NA;NA;
Contemporary Engineering Sciences;13147641;"Engineering 3; Social Sciences 3; Computer Networks and Communications 4; Fluid Flow and Transfer Processes 4; Health, Toxicology and Mutagenesis 4; Materials Science 4";Physical Sciences and Engineering;NA;NA;
Contemporary Physics;107514;Physics and Astronomy ;Physical Sciences and Engineering;Physics and Astronomy;Physics and Astronomy (General);
Contributions of the Astronomical Observatory Skalnate Pleso;13360337;Astronomy and Astrophysics 3;Physical Sciences and Engineering;Physics and Astronomy;Astronomy and Astrophysics;
Continuum Mechanics and Thermodynamics;9351175;"Materials Science 2; Mechanics of Materials 2; Physics and Astronomy 2";Physical Sciences and Engineering;NA;NA;
Contributions to Discrete Mathematics;17150868;Discrete Mathematics and Combinatorics 4;Physical Sciences and Engineering;Mathematics;Discrete Mathematics and Combinatorics;
Contributions to Economics;14311933;Economics and Econometrics 4;Physical Sciences and Engineering;EconomicsEconometrics;EconomicsEconometrics;
Contributions to Geophysics and Geodesy;13352806;Geophysics 4;Physical Sciences and Engineering;Earth and Planetary Sciences;Geophysics;
Contributions to Mineralogy and Petrology;107999;"Geochemistry and Petrology;Geophysics ";Physical Sciences and Engineering;Earth and Planetary Sciences;Geochemistry and Petrology;
